strategy,timeframe,tp,sl,leverage,trades,wins,win_rate,avg_win,avg_loss,risk_reward,ev,total_pnl
RSI超卖,1h,150,3,25,573,182,31.762652705061083,5.696117515225116,2.844551400511498,50.0,1139.9214659685865,-1888.1552457256153
突破买入,1h,150,2,30,831,218,26.233453670276774,6.116471737654331,1.9395129550441723,75.0,1136.2454873646207,4334.081920996995
EMA50/200黄金交叉,4h,200,3,15,31,12,38.70967741935484,13.220674658487468,3.0000000000000027,66.66666666666667,1133.7096774193549,1524.7214385277437
RSI超卖,1h,200,2,25,704,165,23.4375,5.716890501007958,1.9651723791361826,100.0,1133.59375,-2898.52449220223
EMA50/200黄金交叉,4h,200,7,10,31,18,58.06451612903226,13.732210705500211,6.574938574938581,28.571428571428573,1131.935483870968,1617.055912248023
看涨插针,1h,150,2,30,858,224,26.107226107226104,6.005519455162066,1.9593387807180902,75.0,1130.4895104895104,3090.467129431006
趋势EMA交叉,1h,200,2,20,571,165,28.896672504378284,5.710988576525867,1.9346730233739458,100.0,1127.4255691768826,3136.717352738925
EMA50/200黄金交叉,4h,150,3,20,31,12,38.70967741935484,13.220674658487468,3.0000000000000027,50.0,1124.516129032258,2032.9619180369914
RSI超卖,4h,200,3,30,211,42,19.90521327014218,14.331294886724168,2.967633532364142,66.66666666666667,1122.227488151659,3011.529548186256
EMA7/25金叉,4h,200,3,25,174,41,23.563218390804597,15.895032502561449,2.980875838553391,66.66666666666667,1120.8333333333333,6380.996151935462
趋势EMA交叉,4h,150,3,30,148,39,26.351351351351347,15.155561364116926,3.0000000000000036,50.0,1119.527027027027,7922.006796016792
放量突破,1h,200,3,15,505,192,38.01980198019802,5.250383622903806,2.79732437268442,66.66666666666667,1112.7029702970297,1987.6669042096112
EMA50/200黄金交叉,4h,100,3,30,31,12,38.70967741935484,13.220674658487468,3.0000000000000027,33.333333333333336,1106.1290322580644,3049.4428770554873
放量突破,1h,150,3,20,505,192,38.01980198019802,5.250383622903806,2.79732437268442,50.0,1103.4059405940595,2650.2225389461482
EMA7/25金叉,1h,200,2,20,686,192,27.988338192419825,5.886276420309713,1.9518614038072095,100.0,1090.728862973761,3318.9107843740635
趋势EMA交叉,1h,200,3,15,480,179,37.291666666666664,5.200964068594269,2.7201874221658993,66.66666666666667,1090.53125,1682.9423130965736
EMA50/200黄金交叉,4h,200,2,25,31,7,22.58064516129032,14.637636299660256,2.000000000000003,100.0,1090.3225806451612,1361.586352440543
趋势EMA交叉,1d,150,3,25,23,7,30.434782608695656,53.59722417849773,3.0000000000000044,50.0,1089.1304347826087,8179.514231237101
放量突破,1h,100,3,30,505,192,38.01980198019802,5.250383622903806,2.79732437268442,33.333333333333336,1084.8118811881186,3975.3338084192224
放量突破,1d,100,2,25,9,4,44.44444444444444,54.30920916989248,2.000000000000005,50.0,1083.3333333333333,5180.9209169892465
趋势EMA交叉,1h,150,3,20,480,179,37.291666666666664,5.200964068594269,2.7201874221658993,50.0,1081.1249999999998,2243.923084128765
放量突破,1d,200,7,10,9,5,55.55555555555556,73.41721823305829,7.000000000000011,28.571428571428573,1080.0,3390.8609116529133
突破买入,4h,200,3,25,229,52,22.707423580786028,15.236475486564416,2.986173399388042,66.66666666666667,1077.401746724891,6593.600840241654
EMA50/200黄金交叉,1h,200,2,15,156,57,36.53846153846153,5.490057465548701,1.9395910725696164,100.0,1077.1153846153845,1813.7063902782588
EMA50/200黄金交叉,4h,200,5,10,31,17,54.83870967741935,13.09216689943906,5.000000000000004,40.0,1074.1935483870968,1525.6683729046401
EMA50/200黄金交叉,1h,150,2,20,156,57,36.53846153846153,5.490057465548701,1.9395910725696164,75.0,1070.7692307692305,2418.2751870376787
放量突破,1d,100,3,25,9,4,44.44444444444444,54.30920916989248,3.0000000000000027,33.333333333333336,1069.4444444444443,5055.9209169892465
趋势EMA交叉,1h,100,3,30,480,179,37.291666666666664,5.200964068594269,2.7201874221658993,33.333333333333336,1062.3125,3365.884626193147
放量突破,4h,200,3,20,116,32,27.586206896551722,15.712322801053569,2.974094970420479,66.66666666666667,1059.9999999999998,5059.4070423678795
EMA7/25金叉,1h,200,3,15,571,207,36.25218914185639,5.418420147876413,2.740559193567844,66.66666666666667,1058.879159369527,1860.7413622758359
