timestamp,symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply
2025-11-12 10:00:00,BTCUSDT,85083.277,8889361341.183262,19947556.00000000
2025-11-12 11:00:00,BTCUSDT,85108.825,8923788699.96988,19947556.00000000
2025-11-12 12:00:00,BTCUSDT,84852.656,8907568783.6464,19947556.00000000
2025-11-12 13:00:00,BTCUSDT,85095.113,8930838615.749847,19947556.00000000
2025-11-12 14:00:00,BTCUSDT,85160.552,8941645058.62,19947556.00000000
2025-11-12 15:00:00,BTCUSDT,84933.219,8828718055.064856,19947556.00000000
2025-11-12 16:00:00,BTCUSDT,85724.355,8758943264.56864,19947556.00000000
2025-11-12 17:00:00,BTCUSDT,86506.509,8771163117.6879,19947556.00000000
2025-11-12 18:00:00,BTCUSDT,86344.113,8781444416.299679,19947556.00000000
2025-11-12 19:00:00,BTCUSDT,86577.25,8787531976.747898,19947556.00000000
2025-11-12 20:00:00,BTCUSDT,86239.857,8731930471.076696,19947556.00000000
2025-11-12 21:00:00,BTCUSDT,86111.073,8739671131.989,19947556.00000000
2025-11-12 22:00:00,BTCUSDT,85937.059,8755267570.92,19947556.00000000
2025-11-12 23:00:00,BTCUSDT,85862.374,8752247786.754421,19947556.00000000
2025-11-13 00:00:00,BTCUSDT,85988.091,8736888776.5278,19947556.00000000
2025-11-13 01:00:00,BTCUSDT,86263.137,8782726020.0084,19947556.00000000
2025-11-13 02:00:00,BTCUSDT,86403.623,8809108575.719,19947556.00000000
2025-11-13 03:00:00,BTCUSDT,86494.292,8823715198.38,19947993.00000000
2025-11-13 04:00:00,BTCUSDT,86000.94,8781231765.465181,19947993.00000000
2025-11-13 05:00:00,BTCUSDT,85759.885,8754868715.290691,19947993.00000000
2025-11-13 06:00:00,BTCUSDT,85517.117,8815574764.5035,19947993.00000000
2025-11-13 07:00:00,BTCUSDT,86457.861,8953357701.374264,19947993.00000000
2025-11-13 08:00:00,BTCUSDT,85770.537,8871332412.447,19947993.00000000
2025-11-13 09:00:00,BTCUSDT,85918.781,8905442738.781578,19947993.00000000
2025-11-13 10:00:00,BTCUSDT,85722.853,8811649222.4319,19947993.00000000
2025-11-13 11:00:00,BTCUSDT,85691.832,8822793694.022902,19947993.00000000
2025-11-13 12:00:00,BTCUSDT,85926.632,8842385923.212425,19947993.00000000
2025-11-13 13:00:00,BTCUSDT,86160.104,8882744849.9632,19947993.00000000
2025-11-13 14:00:00,BTCUSDT,86443.344,8841615399.6768,19947993.00000000
2025-11-13 15:00:00,BTCUSDT,86880.67,8933696030.224,19947993.00000000
2025-11-13 16:00:00,BTCUSDT,87647.597,8883232537.680626,19947993.00000000
2025-11-13 17:00:00,BTCUSDT,86893.4,8740246275.489313,19947993.00000000
2025-11-13 18:00:00,BTCUSDT,87106.273,8676655853.53,19947993.00000000
2025-11-13 19:00:00,BTCUSDT,88252.992,8696414530.4832,19947993.00000000
2025-11-13 20:00:00,BTCUSDT,90356.408,8913370306.171354,19947993.00000000
2025-11-13 21:00:00,BTCUSDT,90262.06,8857307633.328,19947993.00000000
2025-11-13 22:00:00,BTCUSDT,90439.113,8932904599.852411,19947993.00000000
2025-11-13 23:00:00,BTCUSDT,91053.478,9089366798.216143,19947993.00000000
2025-11-14 00:00:00,BTCUSDT,91608.828,9130386257.669498,19947993.00000000
2025-11-14 01:00:00,BTCUSDT,90862.066,8989583879.0156,19947993.00000000
2025-11-14 02:00:00,BTCUSDT,90631.977,8991639847.788876,19948450.00000000
2025-11-14 03:00:00,BTCUSDT,90738.591,9035358030.197945,19948450.00000000
2025-11-14 04:00:00,BTCUSDT,90724.406,8991078952.6992,19948450.00000000
2025-11-14 05:00:00,BTCUSDT,88995.8,8702151717.28,19948450.00000000
2025-11-14 06:00:00,BTCUSDT,90340.081,8807552040.911776,19948450.00000000
2025-11-14 07:00:00,BTCUSDT,90741.648,8852654446.44498,19948450.00000000
2025-11-14 08:00:00,BTCUSDT,90179.456,8756613685.990662,19948450.00000000
2025-11-14 09:00:00,BTCUSDT,90249.301,8783792992.6581,19948450.00000000
2025-11-14 10:00:00,BTCUSDT,90313.95,8743500991.219402,19948450.00000000
2025-11-14 11:00:00,BTCUSDT,90359.031,8739420895.59924,19948450.00000000
2025-11-14 12:00:00,BTCUSDT,90708.586,8720910384.11496,19948450.00000000
2025-11-14 13:00:00,BTCUSDT,91324.242,8705666017.134,19948450.00000000
2025-11-14 14:00:00,BTCUSDT,91995.224,8758773281.816,19948450.00000000
2025-11-14 15:00:00,BTCUSDT,92491.288,8924660112.5672,19948450.00000000
2025-11-14 16:00:00,BTCUSDT,92796.679,8978319964.6154,19948450.00000000
2025-11-14 17:00:00,BTCUSDT,93206.555,9038621213.153492,19948450.00000000
2025-11-14 18:00:00,BTCUSDT,92814.712,8894164688.2952,19948450.00000000
2025-11-14 19:00:00,BTCUSDT,92793.905,8817648028.72,19948450.00000000
2025-11-14 20:00:00,BTCUSDT,92497.613,8856001048.01738,19948450.00000000
2025-11-14 21:00:00,BTCUSDT,92804.251,8754141473.0041,19948450.00000000
2025-11-14 22:00:00,BTCUSDT,92687.142,8807438100.4086,19948450.00000000
2025-11-14 23:00:00,BTCUSDT,92765.853,8826670912.95,19948450.00000000
